table_name,table_type,engine,rows_estimate,column_count,primary_key,headers,comment
store_seqs,BASE TABLE,InnoDB,2734,2,id,"id, store_seq",
tb_do_cust_sre_psku_cat_quality_detail_daily_flat,BASE TABLE,InnoDB,610771,51,sdp_id,"sdp_id, visit_date, data_month, plan_id, store_skey, store_nskey, distributor_skey, distributor_id, distributor_store_id, src_store_seq, src_division_name, src_market_name, regional_distributor_name_en, src_province_name, src_city_name, src_store_name, src_store_type_code, src_banner_name, src_store_address_cn, src_category_code, src_brand_code, src_scene_name, category_code, category_en, brand_code, brand_en, kpi_type, kpi_id, kpi_name_en, kpi_name_cn, kpi_value, seq_all_category_flag, visit_type_code, visit_type_name, csv_file_name, zip_file_name, blob_last_modified_time, rec_load_time, dw_batch_num, dw_create_time, dw_last_update_time, dw_source_sys, dw_source_table, pt_date, data_cluster, dw_sdp_batch_num, dw_sdp_create_time, dw_sdp_last_update_time, sdp_etl_date, dw_sdp_source_system, dw_sdp_source_table",CEP
tb_oi_all_qh_result_daily_flat,BASE TABLE,InnoDB,1190588,16,,"biz_date, bar_code, soldto_code, shipto_code, customer_code, sku_type, sku_quantity, sku_quantity_plan, reason, qh_reason, dw_sdp_batch_num, dw_sdp_create_time, dw_sdp_last_update_time, sdp_etl_date, dw_sdp_source_system, dw_sdp_source_table",全量缺货明细—打标结果汇总表
tb_oi_all_qh_result_daily_flat_bak20260707132153,BASE TABLE,InnoDB,1186295,16,,"biz_date, bar_code, soldto_code, shipto_code, customer_code, sku_type, sku_quantity, sku_quantity_plan, reason, qh_reason, dw_sdp_batch_num, dw_sdp_create_time, dw_sdp_last_update_time, sdp_etl_date, dw_sdp_source_system, dw_sdp_source_table",全量缺货明细—打标结果汇总表
tb_oi_all_qh_result_daily_flat_bak20260708132103,BASE TABLE,InnoDB,1187743,16,,"biz_date, bar_code, soldto_code, shipto_code, customer_code, sku_type, sku_quantity, sku_quantity_plan, reason, qh_reason, dw_sdp_batch_num, dw_sdp_create_time, dw_sdp_last_update_time, sdp_etl_date, dw_sdp_source_system, dw_sdp_source_table",全量缺货明细—打标结果汇总表
tb_oi_all_qh_result_daily_flat_bak20260709132124,BASE TABLE,InnoDB,1189197,16,,"biz_date, bar_code, soldto_code, shipto_code, customer_code, sku_type, sku_quantity, sku_quantity_plan, reason, qh_reason, dw_sdp_batch_num, dw_sdp_create_time, dw_sdp_last_update_time, sdp_etl_date, dw_sdp_source_system, dw_sdp_source_table",全量缺货明细—打标结果汇总表
tb_oi_all_sales_order_daily_flat,BASE TABLE,InnoDB,21270841,24,,"ids_order_number, pre_order_number, soldto_code, shipto_code, org_code, org_name, warehouse_code, customer_code, sku_code, bar_code, sku_unit, sku_quantity, order_qty, sku_quantity_num, customer_type, ids_order_create_time, sku_type, datekey, dw_sdp_batch_num, dw_sdp_create_time, dw_sdp_last_update_time, sdp_etl_date, dw_sdp_source_system, dw_sdp_source_table",V_全量销售订单_荆州
tb_oi_all_sales_order_daily_flat_bak20260707132153,BASE TABLE,InnoDB,21302495,24,,"ids_order_number, pre_order_number, soldto_code, shipto_code, org_code, org_name, warehouse_code, customer_code, sku_code, bar_code, sku_unit, sku_quantity, order_qty, sku_quantity_num, customer_type, ids_order_create_time, sku_type, datekey, dw_sdp_batch_num, dw_sdp_create_time, dw_sdp_last_update_time, sdp_etl_date, dw_sdp_source_system, dw_sdp_source_table",V_全量销售订单_荆州
tb_oi_all_sales_order_daily_flat_bak20260708132103,BASE TABLE,InnoDB,21293246,24,,"ids_order_number, pre_order_number, soldto_code, shipto_code, org_code, org_name, warehouse_code, customer_code, sku_code, bar_code, sku_unit, sku_quantity, order_qty, sku_quantity_num, customer_type, ids_order_create_time, sku_type, datekey, dw_sdp_batch_num, dw_sdp_create_time, dw_sdp_last_update_time, sdp_etl_date, dw_sdp_source_system, dw_sdp_source_table",V_全量销售订单_荆州
tb_oi_all_sales_order_daily_flat_bak20260709132124,BASE TABLE,InnoDB,21280833,24,,"ids_order_number, pre_order_number, soldto_code, shipto_code, org_code, org_name, warehouse_code, customer_code, sku_code, bar_code, sku_unit, sku_quantity, order_qty, sku_quantity_num, customer_type, ids_order_create_time, sku_type, datekey, dw_sdp_batch_num, dw_sdp_create_time, dw_sdp_last_update_time, sdp_etl_date, dw_sdp_source_system, dw_sdp_source_table",V_全量销售订单_荆州
